Genotype	day	phase	value	n_batches
"DGRP338"	5	"Night sleep (ZT8-24)"	780.25	2
"DGRP338"	6	"Night sleep (ZT8-24)"	776.5	2
"DGRP584"	1	"Night sleep (ZT8-24)"	747	2
"DGRP584"	2	"Night sleep (ZT8-24)"	748.919186652764	2
"DGRP584"	3	"Night sleep (ZT8-24)"	747	2
"DGRP584"	4	"Night sleep (ZT8-24)"	749	2
"DGRP584"	5	"Night sleep (ZT8-24)"	760	2
"DGRP584"	6	"Night sleep (ZT8-24)"	793.5	2
"DGRP796"	1	"Night sleep (ZT8-24)"	485	1
"DGRP796"	2	"Night sleep (ZT8-24)"	502	1
"DGRP796"	3	"Night sleep (ZT8-24)"	502	1
"DGRP796"	4	"Night sleep (ZT8-24)"	531	1
"DGRP796"	5	"Night sleep (ZT8-24)"	556	1
"DGRP796"	6	"Night sleep (ZT8-24)"	622.5	1
"DGRP31"	1	"Night sleep (ZT8-24)"	655	1
"DGRP31"	2	"Night sleep (ZT8-24)"	639.5	1
"DGRP31"	3	"Night sleep (ZT8-24)"	640.5	1
"DGRP31"	4	"Night sleep (ZT8-24)"	615	1
"DGRP31"	5	"Night sleep (ZT8-24)"	611	1
"DGRP31"	6	"Night sleep (ZT8-24)"	629.5	1
"DGRP843"	1	"Night sleep (ZT8-24)"	683.5	1
"DGRP843"	2	"Night sleep (ZT8-24)"	615.5	1
"DGRP843"	3	"Night sleep (ZT8-24)"	598	1
"DGRP843"	4	"Night sleep (ZT8-24)"	578.5	1
"DGRP843"	5	"Night sleep (ZT8-24)"	488.5	1
"DGRP843"	6	"Night sleep (ZT8-24)"	521	1
"DGRP379"	1	"Night sleep (ZT8-24)"	691	1
"DGRP379"	2	"Night sleep (ZT8-24)"	734.5	1
"DGRP379"	3	"Night sleep (ZT8-24)"	730.5	1
"DGRP379"	4	"Night sleep (ZT8-24)"	703.5	1
"DGRP379"	5	"Night sleep (ZT8-24)"	748	1
"DGRP379"	6	"Night sleep (ZT8-24)"	697.5	1
"DGRP441"	1	"Night sleep (ZT8-24)"	632.666666666667	3
"DGRP441"	2	"Night sleep (ZT8-24)"	630.666666666667	3
"DGRP441"	3	"Night sleep (ZT8-24)"	667.666666666667	3
"DGRP441"	4	"Night sleep (ZT8-24)"	666	3
"DGRP441"	5	"Night sleep (ZT8-24)"	718	3
"DGRP441"	6	"Night sleep (ZT8-24)"	758	3
"DGRP517"	1	"Night sleep (ZT8-24)"	734.25	2
"DGRP517"	2	"Night sleep (ZT8-24)"	738.5	2
