Genotype	Batch	slot	value	n_flies	signal	zt	nb	n	label
"CS"	"Batch12_DGRP"	27	0.143555555555556	30	"moving"	13.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	28	0.12	30	"moving"	14.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	29	0.108222222222222	30	"moving"	14.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	30	0.101777777777778	30	"moving"	15.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	31	0.108888888888889	30	"moving"	15.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	32	0.104	30	"moving"	16.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	33	0.110444444444444	30	"moving"	16.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	34	0.102222222222222	30	"moving"	17.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	35	0.108444444444444	30	"moving"	17.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	36	0.126222222222222	30	"moving"	18.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	37	0.128444444444444	30	"moving"	18.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	38	0.142222222222222	30	"moving"	19.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	39	0.186888888888889	30	"moving"	19.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	40	0.191555555555556	30	"moving"	20.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	41	0.189111111111111	30	"moving"	20.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	42	0.237555555555556	30	"moving"	21.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	43	0.293111111111111	30	"moving"	21.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	44	0.326222222222222	30	"moving"	22.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	45	0.375777777777778	30	"moving"	22.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	46	0.460888888888889	30	"moving"	23.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch12_DGRP"	47	0.480888888888889	30	"moving"	23.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	0	0.315208333333333	32	"moving"	0.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	1	0.321666666666667	32	"moving"	0.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	2	0.343333333333333	32	"moving"	1.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	3	0.336875	32	"moving"	1.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	4	0.312708333333333	32	"moving"	2.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	5	0.285416666666667	32	"moving"	2.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	6	0.27625	32	"moving"	3.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	7	0.274791666666667	32	"moving"	3.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	8	0.2825	32	"moving"	4.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	9	0.270625	32	"moving"	4.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	10	0.228541666666667	32	"moving"	5.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	11	0.247916666666667	32	"moving"	5.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	12	0.254375	32	"moving"	6.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	13	0.226041666666667	32	"moving"	6.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	14	0.551458333333333	32	"moving"	7.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	15	0.55875	32	"moving"	7.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	16	0.689166666666667	32	"moving"	8.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	17	0.72625	32	"moving"	8.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	18	0.757708333333333	32	"moving"	9.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	19	0.745833333333333	32	"moving"	9.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	20	0.742708333333333	32	"moving"	10.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	21	0.677916666666667	32	"moving"	10.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	22	0.56875	32	"moving"	11.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	23	0.434166666666667	32	"moving"	11.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	24	0.342708333333333	32	"moving"	12.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	25	0.266458333333333	32	"moving"	12.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	26	0.187708333333333	32	"moving"	13.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	27	0.169583333333333	32	"moving"	13.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	28	0.164375	32	"moving"	14.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	29	0.168541666666667	32	"moving"	14.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	30	0.183333333333333	32	"moving"	15.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	31	0.184791666666667	32	"moving"	15.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	32	0.185	32	"moving"	16.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	33	0.20125	32	"moving"	16.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	34	0.188541666666667	32	"moving"	17.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	35	0.205	32	"moving"	17.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	36	0.225208333333333	32	"moving"	18.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	37	0.235	32	"moving"	18.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	38	0.256875	32	"moving"	19.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	39	0.286875	32	"moving"	19.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	40	0.296041666666667	32	"moving"	20.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	41	0.342916666666667	32	"moving"	20.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	42	0.4325	32	"moving"	21.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	43	0.529375	32	"moving"	21.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	44	0.61375	32	"moving"	22.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	45	0.615625	32	"moving"	22.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	46	0.357916666666667	32	"moving"	23.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch13_DGRP"	47	0.302708333333333	32	"moving"	23.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	0	0.131666666666667	12	"moving"	0.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	1	0.145555555555556	12	"moving"	0.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	2	0.136111111111111	12	"moving"	1.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	3	0.141111111111111	12	"moving"	1.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	4	0.112777777777778	12	"moving"	2.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	5	0.103333333333333	12	"moving"	2.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	6	0.115555555555556	12	"moving"	3.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	7	0.113888888888889	12	"moving"	3.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	8	0.0733333333333333	12	"moving"	4.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	9	0.0833333333333333	12	"moving"	4.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	10	0.0777777777777778	12	"moving"	5.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	11	0.07	12	"moving"	5.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	12	0.08	12	"moving"	6.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	13	0.0788888888888889	12	"moving"	6.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	14	0.424444444444444	12	"moving"	7.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	15	0.502222222222222	12	"moving"	7.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	16	0.52	12	"moving"	8.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	17	0.597222222222222	12	"moving"	8.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	18	0.638333333333333	12	"moving"	9.25	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	19	0.636666666666667	12	"moving"	9.75	22	577	"CS
n = 577 flies, 22 batches"
"CS"	"Batch14_DGRP"	20	0.591666666666667	12	"moving"	10.25	22	577	"CS
n = 577 flies, 22 batches"
