trait	rank	n	expected	observed	low	high
"NightSleepChange"	274	1428812	3.71801775834975	3.63096977819085	3.66730513204841	3.77023344673561
"NightSleepChange"	277	1428812	3.71327995337849	3.61948485850358	3.66283918068989	3.76520750288535
"NightSleepChange"	279	1428812	3.71014988950946	3.61778837942672	3.65988793144661	3.76188796226782
"NightSleepChange"	282	1428812	3.70549668983184	3.6146100338914	3.65549940756259	3.75695437740208
"NightSleepChange"	284	1428812	3.70242202579028	3.61281312915431	3.65259887831272	3.75369529016538
"NightSleepChange"	287	1428812	3.6978504627158	3.60904723900821	3.64828512420082	3.74885075459117
"NightSleepChange"	289	1428812	3.69482927152745	3.60578304170766	3.64543358897773	3.74564997344336
"NightSleepChange"	292	1428812	3.69033652992417	3.60404664835111	3.64119208193268	3.74089135163789
"NightSleepChange"	294	1428812	3.68736698343557	3.60199050976923	3.63838790169533	3.73774684131079
"NightSleepChange"	297	1428812	3.68295039131892	3.59925656798192	3.63421624499919	3.7330711599367
"NightSleepChange"	300	1428812	3.67857826229387	3.59220303735007	3.63008539738197	3.7284438789525
"NightSleepChange"	302	1428812	3.67568777254303	3.59115820757317	3.62735377653192	3.72538542647546
"NightSleepChange"	305	1428812	3.67138779205031	3.58733117557347	3.62328918618043	3.72083663888435
"NightSleepChange"	308	1428812	3.66712996890777	3.58532742156428	3.61926333271786	3.71633369066184
"NightSleepChange"	311	1428812	3.6629134845066	3.58112224228049	3.61527547973169	3.7118756734283
"NightSleepChange"	313	1428812	3.66012506733911	3.57799322159084	3.6126376682619	3.70892818711064
"NightSleepChange"	316	1428812	3.65597572543905	3.5718684469869	3.60871156926626	3.70454310814131
"NightSleepChange"	319	1428812	3.65186565234784	3.57173558517279	3.60482160691389	3.70020066530948
"NightSleepChange"	322	1428812	3.64779411175896	3.56715893306568	3.60096711759489	3.69590004303465
"NightSleepChange"	325	1428812	3.64376038788282	3.5610385892069	3.59714745587343	3.69164044883904
"NightSleepChange"	328	1428812	3.6397637846914	3.55762058493661	3.59336199382873	3.687421112485
"NightSleepChange"	330	1428812	3.63711967008918	3.55724594379932	3.59085704986374	3.68463021640457
"NightSleepChange"	333	1428812	3.63318343938008	3.55302968647941	3.5871272374902	3.6804763226278
"NightSleepChange"	336	1428812	3.62928256451419	3.54801411105109	3.58343003126929	3.67636073531598
"NightSleepChange"	339	1428812	3.62541641599804	3.54171123740984	3.57976486232634	3.67228275901887
"NightSleepChange"	342	1428812	3.62158438100165	3.53763944289437	3.57613117659376	3.6682417169936
"NightSleepChange"	345	1428812	3.61778586277556	3.52858066033176	3.57252843430058	3.66423695054097
"NightSleepChange"	349	1428812	3.61277230658518	3.524373841197	3.5677720050069	3.65895258463482
"NightSleepChange"	352	1428812	3.60904975966336	3.52388602805031	3.56423944165234	3.655029996236
"NightSleepChange"	355	1428812	3.60535884950012	3.52054706381275	3.56073611963286	3.65114161011817
"NightSleepChange"	358	1428812	3.6016990428821	3.51425586590387	3.5572615557412	3.64728683878304
"NightSleepChange"	361	1428812	3.59806981996376	3.50786986488947	3.55381527868709	3.64346510969317
"NightSleepChange"	364	1428812	3.59447067382415	3.50553093475736	3.55039682870785	3.63967586476933
"NightSleepChange"	368	1428812	3.58971774559899	3.50067177085186	3.54588140815149	3.63467313065945
"NightSleepChange"	371	1428812	3.58618687670386	3.49535518269707	3.54252616203272	3.63095758946132
"NightSleepChange"	374	1428812	3.58268448286779	3.4916777145911	3.53919728901504	3.6272727705458
"NightSleepChange"	378	1428812	3.578058133054	3.4916480751584	3.53479910243355	3.62240660513881
"NightSleepChange"	381	1428812	3.57462042791261	3.48661990295324	3.53153017360725	3.61879154506909
"NightSleepChange"	384	1428812	3.5712097207342	3.48314612809562	3.52828627528463	3.61520558453982
"NightSleepChange"	388	1428812	3.56670338217687	3.47893386863105	3.5239993535649	3.61046877306633
"NightSleepChange"	391	1428812	3.56335405080588	3.47649415216587	3.52081238630986	3.60694893405579
"NightSleepChange"	395	1428812	3.55892808147376	3.47318661816813	3.51660003893293	3.6022986772658
"NightSleepChange"	398	1428812	3.55563795602671	3.4701706989511	3.51346802712162	3.5988425798225
