phenotype	min_n	lines	repeated_lines	pairs	symmetric_rho
"TwoHarmonicR2__State_D2_D6"	16	173	34	45	0.477391733904166
"TwoHarmonicR2__D6_D1"	8	169	66	94	0.277205593508857
"TwoHarmonicR2__D6_D1"	12	169	55	72	0.167083998183302
"TwoHarmonicR2__D6_D1"	16	166	34	45	0.0201547834678083
"TwoHarmonicR2__Late2_Early2"	8	169	66	94	0.179535018128784
"TwoHarmonicR2__Late2_Early2"	12	169	55	72	0.0863052294385518
"TwoHarmonicR2__Late2_Early2"	16	166	34	45	-0.0238761732257533
"EveningPeakOffset__State_D2_D6"	8	175	66	84	-0.0581716714713467
"EveningPeakOffset__State_D2_D6"	12	169	45	54	-0.111041135888701
"EveningPeakOffset__State_D2_D6"	16	144	18	20	-0.128944402704733
"EveningPeakOffset__D6_D1"	8	150	46	55	0.133870029480493
"EveningPeakOffset__D6_D1"	12	117	16	20	0.336915422885572
"EveningPeakOffset__D6_D1"	16	82	7	9	0.490263459335624
"EveningPeakOffset__Late2_Early2"	8	119	23	30	0.0920869565217392
"EveningPeakOffset__Late2_Early2"	12	82	7	7	0.326291079812207
"EveningPeakOffset__Late2_Early2"	16	38	4	4	-0.625
"EveningPeakAmplitude__State_D2_D6"	8	176	67	95	0.595999653558765
"EveningPeakAmplitude__State_D2_D6"	12	176	55	72	0.664758830941505
"EveningPeakAmplitude__State_D2_D6"	16	173	34	45	0.635951226339753
"EveningPeakAmplitude__D6_D1"	8	169	66	94	0.291636749855722
"EveningPeakAmplitude__D6_D1"	12	169	55	72	0.289164690276159
"EveningPeakAmplitude__D6_D1"	16	166	34	45	0.354920530346702
"EveningPeakAmplitude__Late2_Early2"	8	169	66	94	0.333355910773955
"EveningPeakAmplitude__Late2_Early2"	12	169	55	72	0.32514470616609
"EveningPeakAmplitude__Late2_Early2"	16	166	34	45	0.37366509950515
"DawnAnticipation__State_D2_D6"	8	176	64	86	0.167415884037189
"DawnAnticipation__State_D2_D6"	12	172	43	58	0.157036359232446
"DawnAnticipation__State_D2_D6"	16	161	28	37	0.433002977645438
"DawnAnticipation__D6_D1"	8	176	65	87	0.242068057400223
"DawnAnticipation__D6_D1"	12	175	45	62	0.283232136280796
"DawnAnticipation__D6_D1"	16	168	30	41	0.41370975644278
"DawnAnticipation__Late2_Early2"	8	176	63	85	0.356117519893008
"DawnAnticipation__Late2_Early2"	12	175	42	57	0.309137454733994
"DawnAnticipation__Late2_Early2"	16	162	28	37	0.483785905811594
"DuskAnticipation__State_D2_D6"	8	173	61	83	0.0616800362059805
"DuskAnticipation__State_D2_D6"	12	170	46	61	0.206781453451866
"DuskAnticipation__State_D2_D6"	16	154	23	32	0.347107059416373
"DuskAnticipation__D6_D1"	8	168	64	88	0.00785980251984762
"DuskAnticipation__D6_D1"	12	166	48	63	0.0257151771143323
"DuskAnticipation__D6_D1"	16	152	28	39	0.24689452779113
"DuskAnticipation__Late2_Early2"	8	167	61	83	0.0343786279769908
"DuskAnticipation__Late2_Early2"	12	163	44	59	0.0250120531213932
"DuskAnticipation__Late2_Early2"	16	146	25	34	0.202092721301459
"DuskResponse__State_D2_D6"	8	176	67	95	0.291637174916337
"DuskResponse__State_D2_D6"	12	176	55	72	0.29626577699172
"DuskResponse__State_D2_D6"	16	173	34	45	0.45231899334607
"DuskResponse__D6_D1"	8	176	67	95	0.0880322254802415
"DuskResponse__D6_D1"	12	176	55	72	-0.030010004005628
"DuskResponse__D6_D1"	16	173	34	45	0.122884467805953
"DuskResponse__Late2_Early2"	8	176	67	95	0.0173330264043533
"DuskResponse__Late2_Early2"	12	176	55	72	0.0818020011061391
"DuskResponse__Late2_Early2"	16	173	34	45	0.147488806616259
"DawnResponse__State_D2_D6"	8	176	67	95	0.342774124457106
"DawnResponse__State_D2_D6"	12	176	55	72	0.379255108542073
"DawnResponse__State_D2_D6"	16	173	34	45	0.50294367090171
"SiestaMoving__State_D2_D6"	8	176	67	95	0.687089583446336
"SiestaMoving__State_D2_D6"	12	176	55	72	0.683742167309091
"SiestaMoving__State_D2_D6"	16	173	34	45	0.688869860193983
"SiestaMoving__D6_D1"	8	169	66	94	0.571878826848537
"SiestaMoving__D6_D1"	12	169	55	72	0.614823449024297
"SiestaMoving__D6_D1"	16	166	34	45	0.632673560795679
"SiestaMoving__Late2_Early2"	8	169	66	94	0.543462063322475
"SiestaMoving__Late2_Early2"	12	169	55	72	0.58872721426131
"SiestaMoving__Late2_Early2"	16	166	34	45	0.622694182752487
"DarkCoreMoving__State_D2_D6"	8	176	67	95	0.734056829912691
"DarkCoreMoving__State_D2_D6"	12	176	55	72	0.712854851869566
"DarkCoreMoving__State_D2_D6"	16	173	34	45	0.754981063724683
"DarkCoreMoving__D6_D1"	8	176	67	95	0.536617927916342
"DarkCoreMoving__D6_D1"	12	176	55	72	0.561437850700195
"DarkCoreMoving__D6_D1"	16	173	34	45	0.737496088667842
"DarkCoreMoving__Late2_Early2"	8	176	67	95	0.520173534653128
"DarkCoreMoving__Late2_Early2"	12	176	55	72	0.558829499255424
"DarkCoreMoving__Late2_Early2"	16	173	34	45	0.668428592599911
"MorningPeakOffset__State_D2_D6"	8	172	56	80	0.113389488127454
"MorningPeakOffset__State_D2_D6"	12	165	36	51	0.147227425260168
"MorningPeakOffset__State_D2_D6"	16	142	18	27	0.217678503245514
"MorningPeakAmplitude__State_D2_D6"	8	176	67	95	0.444096648414665
"MorningPeakAmplitude__State_D2_D6"	12	176	55	72	0.41958348321855
"MorningPeakAmplitude__State_D2_D6"	16	173	34	45	0.48472323994105
"LD24hLagCorrelation__State_D2_D6"	8	176	67	95	0.533399354023704
"LD24hLagCorrelation__State_D2_D6"	12	176	55	72	0.542698440131349
"LD24hLagCorrelation__State_D2_D6"	16	173	34	45	0.528404412975465
"LDInterdailyStability__State_D2_D6"	8	176	67	95	0.533493835930419
"LDInterdailyStability__State_D2_D6"	12	176	55	72	0.557312411827832
"LDInterdailyStability__State_D2_D6"	16	173	34	45	0.545002469948954
"LDIntradailyVariability__State_D2_D6"	8	176	67	95	0.595505460704275
"LDIntradailyVariability__State_D2_D6"	12	176	55	72	0.50539181601508
"LDIntradailyVariability__State_D2_D6"	16	173	34	45	0.458883583072617
"OddEvenProfileCorrelation__State_D2_D6"	8	176	67	95	0.494343333251682
"OddEvenProfileCorrelation__State_D2_D6"	12	176	55	72	0.507706900640265
"OddEvenProfileCorrelation__State_D2_D6"	16	173	34	45	0.47620615840606
"PCA_moving_raw_PC1"	8	176	67	95	0.822520987230945
"PCA_moving_raw_PC1"	12	176	55	72	0.784890053576524
"PCA_moving_raw_PC1"	16	173	34	45	0.786629342993578
"PCA_moving_raw_PC2"	8	176	67	95	0.571262103307217
"PCA_moving_raw_PC2"	12	176	55	72	0.569128989602215
"PCA_moving_raw_PC2"	16	173	34	45	0.597859377572864
"PCA_moving_raw_PC3"	8	176	67	95	0.447816243189429
"PCA_moving_raw_PC3"	12	176	55	72	0.532987946286821
"PCA_moving_raw_PC3"	16	173	34	45	0.447818211756957
"PCA_moving_centered_shape_PC1"	8	176	67	95	0.578404235588885
"PCA_moving_centered_shape_PC1"	12	176	55	72	0.587754166951363
"PCA_moving_centered_shape_PC1"	16	173	34	45	0.583500740984686
"PCA_moving_centered_shape_PC2"	8	176	67	95	0.484125290006964
"PCA_moving_centered_shape_PC2"	12	176	55	72	0.545302910334682
"PCA_moving_centered_shape_PC2"	16	173	34	45	0.479499423678577
"PCA_moving_centered_shape_PC3"	8	176	67	95	0.233891709737585
"PCA_moving_centered_shape_PC3"	12	176	55	72	0.264815938714565
"PCA_moving_centered_shape_PC3"	16	173	34	45	0.377474065535979
"PCA_moving_change_PC1"	8	169	66	94	0.588151947659061
"PCA_moving_change_PC1"	12	169	55	72	0.629417651716418
"PCA_moving_change_PC1"	16	166	34	45	0.7301498435699
"PCA_moving_change_PC2"	8	169	66	94	0.524652889091574
"PCA_moving_change_PC2"	12	169	55	72	0.524716341844753
"PCA_moving_change_PC2"	16	166	34	45	0.603128602008892
"PCA_moving_change_PC3"	8	169	66	94	0.354969273629505
"PCA_moving_change_PC3"	12	169	55	72	0.388472003954936
"PCA_moving_change_PC3"	16	166	34	45	0.382282232833855
"PCA_sleep_raw_PC1"	8	176	67	95	0.816176702161536
"PCA_sleep_raw_PC1"	12	176	55	72	0.771682817329373
"PCA_sleep_raw_PC1"	16	173	34	45	0.731467149678907
"PCA_sleep_raw_PC2"	8	176	67	95	0.531068800324738
"PCA_sleep_raw_PC2"	12	176	55	72	0.523590953485288
"PCA_sleep_raw_PC2"	16	173	34	45	0.597826444920138
"PCA_sleep_raw_PC3"	8	176	67	95	0.554349842005256
"PCA_sleep_raw_PC3"	12	176	55	72	0.623742478989401
"PCA_sleep_raw_PC3"	16	173	34	45	0.559657500411658
"PCA_sleep_centered_shape_PC1"	8	176	67	95	0.513663133509933
"PCA_sleep_centered_shape_PC1"	12	176	55	72	0.511493028621037
"PCA_sleep_centered_shape_PC1"	16	173	34	45	0.54332290465997
"PCA_sleep_centered_shape_PC2"	8	176	67	95	0.542291151244537
"PCA_sleep_centered_shape_PC2"	12	176	55	72	0.59236825922517
"PCA_sleep_centered_shape_PC2"	16	173	34	45	0.57302815741808
"PCA_sleep_centered_shape_PC3"	8	176	67	95	0.225251864267993
"PCA_sleep_centered_shape_PC3"	12	176	55	72	0.292982801654321
"PCA_sleep_centered_shape_PC3"	16	173	34	45	0.422624732422197
"PCA_sleep_change_PC1"	8	169	66	94	0.591587160395718
"PCA_sleep_change_PC1"	12	169	55	72	0.668323935000784
"PCA_sleep_change_PC1"	16	166	34	45	0.787584389922608
"PCA_sleep_change_PC2"	8	169	66	94	0.401592082033314
"PCA_sleep_change_PC2"	12	169	55	72	0.348922641608019
"PCA_sleep_change_PC2"	16	166	34	45	0.43905812613206
"PCA_sleep_change_PC3"	8	169	66	94	0.320115048922884
"PCA_sleep_change_PC3"	12	169	55	72	0.313963256070063
"PCA_sleep_change_PC3"	16	166	34	45	0.342334925078215
