model	PC	zt	loading	centre	score_sd	variance_fraction
"moving_centered_shape"	"PC2"	9.25	-0.191151674264943	0.26925966893682	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	9.75	-0.235476422576909	0.218284542812042	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	10.25	-0.239961665327109	0.145226622504464	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	10.75	-0.195504848576272	0.0774691405306989	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	11.25	-0.134217998902399	0.0106870376164378	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	11.75	-0.0683332588854551	-0.0469195990609714	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	12.25	-0.0194101738057576	-0.0824408633376368	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	12.75	0.0154278217223862	-0.106534133433718	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	13.25	0.0379707540811183	-0.119226755397674	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	13.75	0.0511774520976188	-0.125592727445622	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	14.25	0.0723363705965869	-0.126072858359567	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	14.75	0.0874404958358923	-0.124063186156693	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	15.25	0.09740459199462	-0.119182016143054	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	15.75	0.0996345826417185	-0.113548310279615	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	16.25	0.111091757061662	-0.10670762351505	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	16.75	0.125761128571028	-0.100821039007909	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	17.25	0.142876027849659	-0.090906012960593	0.416029374576384	0.216984113159899
"moving_centered_shape"	"PC2"	17.75	0.16009719325731	-0.0784813247706832	0.416029374576384	0.216984113159899
