phenotype	eligible_lines	eligible_line_batches	valid_fly_fraction	repeated_lines	batch_pairs	repeatability_rho	rho_ci_low	rho_ci_high	traditional_pair_rho	max_LOO_rho_change	raw_batchFE_rho	batchFE_available	CS_batches	CS_sd_vs_DGRP_sd	conditional_line_variance_fraction	mixed_model_singular	min8_min16_line_rho	min16_lines	raw_sd	metric	contrast	family	unit	definition	aggregation	eligibility	selection_class	review_status
"LDInterdailyStability__State_D2_D6"	176	256	1	67	95	0.533493835930419	0.3069591782886	0.699099631966201	0.541529878693275	0.0467537832990432	0.922225401716927	TRUE	22	0.67187391309933	0.593937074020632	FALSE	0.976125359823113	173	0.104098098006593	"LDInterdailyStability"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Five times sum of squared mean-profile deviations divided by total D2-D6 squared deviations"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"	"priority candidate"
"LD24hLagCorrelation__State_D2_D6"	176	256	1	67	95	0.533399354023704	0.345041639347547	0.692486521808096	0.550398639236741	0.0469868026349066	0.929187761391151	TRUE	22	0.612971136649338	0.640537639944448	FALSE	0.978137124474461	173	0.12359177158622	"LD24hLagCorrelation"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Pearson correlation of adjacent D2-D6 daily moving profiles after centering each day; 48-bin lag"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_sleep_raw_PC2"	176	256	1	67	95	0.531068800324738	0.291892295223792	0.7018262392232	0.594042460853557	0.0728281200720262	0.852540171692714	TRUE	22	0.892268386374223	0.746404969545052	FALSE	0.980192925448823	173	0.587375380084233	"PCA_sleep_raw_PC2"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 2 of sleep raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"DarkSleep__Late2_Early2"	176	256	1	67	95	0.529979747256256	0.301505403992021	0.692500799494511	0.532581532698967	0.0453605762942598	0.84771873058036	TRUE	22	0.787466295038433	0.662713056737166	FALSE	0.979460317644264	173	85.7497593920555	"DarkSleep"	"Late2_Early2"	"sleep_amount_allocation"	"minutes"	"ZT8-24 sleep minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PWakeLight__D6_D1"	169	248	0.963230571612075	66	94	0.527596841121411	0.269301655619952	0.705479152581188	0.535033526980549	0.0446973960272263	0.910834866490975	TRUE	21	0.64341168857661	0.581755143669028	FALSE	0.967978172898453	166	0.522043120035631	"PWakeLight"	"D6_D1"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"Harmonic12Amplitude__Late2_Early2"	169	248	0.964675658317277	66	94	0.525519819750667	0.313259899680831	0.647014338605765	0.505690193358189	0.0299754894946142	0.796380090497738	TRUE	21	0.962259326322772	0.462551475685282	FALSE	0.977695430606476	166	0.0348691061030288	"Harmonic12Amplitude"	"Late2_Early2"	"LD_profile"	"dimensionless"	"12-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_moving_change_PC2"	169	248	0.964675658317277	66	94	0.524652889091574	0.308302698358788	0.65505862176812	0.573560652041966	0.0496414148527536	0.720282432499627	TRUE	21	1.35397271260977	0.593787593408411	FALSE	0.970661961946862	166	0.230863594043407	"PCA_moving_change_PC2"	"Late2_Early2"	"profile_PCA"	"PC score"	"PC 2 of moving change 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"DarkCoreMoving__Late2_Early2"	176	256	1	67	95	0.520173534653128	0.282623670159179	0.700131771035485	0.527569334596918	0.0481662524333991	0.848847978508715	TRUE	22	0.61417831291379	0.568663827628639	FALSE	0.980304083809122	173	0.074277877265528	"DarkCoreMoving"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving probability ZT12-20"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
"PCA_sleep_centered_shape_PC1"	176	256	1	67	95	0.513663133509933	0.285293460147173	0.679777125419889	0.572966029917192	0.0478281145009787	0.852815320272948	TRUE	22	0.872985078133734	0.719705589860907	FALSE	0.981337869847171	173	0.601742788801559	"PCA_sleep_centered_shape_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of sleep centered_shape 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"	"priority candidate"
"ActivityDark__Late2_Early2"	176	256	1	67	95	0.500047240953357	0.305358557820593	0.662409584611988	0.50677581705294	0.0445571046800493	0.848320493066256	TRUE	22	0.884030501194816	0.441296828041692	FALSE	0.973942085282134	173	0.0987218697062334	"ActivityDark"	"Late2_Early2"	"activity"	"log1p scale"	"log1p(beam crossings per observed minute), ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"	"priority candidate"
