PCA_phenotype	comparison_phenotype	rho	paired_lines
"PCA_moving_change_PC1"	"PWakeLight__Late2_Early2"	0.610360001988961	169
"PCA_moving_change_PC1"	"ActivityLight__D6_D1"	0.582539406295063	169
"PCA_moving_change_PC1"	"PWakeLight__D6_D1"	0.552466311968575	169
"PCA_moving_change_PC1"	"FragmentationLight__Late2_Early2"	0.494804136443934	168
"PCA_moving_change_PC1"	"FragmentationDark__Late2_Early2"	0.488416786833077	169
"PCA_moving_change_PC1"	"FragmentationDark__D6_D1"	0.48322559793148	169
"PCA_moving_change_PC1"	"FragmentationLight__D6_D1"	0.347103575157874	169
"PCA_moving_change_PC1"	"Harmonic12Amplitude__D6_D1"	0.32250261051166	169
"PCA_moving_change_PC1"	"Harmonic12Amplitude__Late2_Early2"	0.321130227238825	169
"PCA_moving_change_PC1"	"EveningPeakAmplitude__D6_D1"	0.246688379493809	169
"PCA_moving_change_PC1"	"PWakeDark__State_D2_D6"	0.224581075033564	169
"PCA_moving_change_PC1"	"MorningPeakAmplitude__State_D2_D6"	0.222875540748844	169
"PCA_moving_change_PC1"	"EveningPeakAmplitude__Late2_Early2"	0.214546765451743	169
"PCA_moving_change_PC1"	"MovingLight__State_D2_D6"	0.214509472428025	169
"PCA_moving_change_PC1"	"ActivityContrast__Late2_Early2"	0.213969966684899	169
"PCA_moving_change_PC1"	"FragmentationDark__State_D2_D6"	0.202978469494307	169
"PCA_moving_change_PC1"	"Harmonic24Amplitude__D6_D1"	0.202329570881607	169
"PCA_moving_change_PC1"	"SiestaMoving__State_D2_D6"	0.194609914971906	169
"PCA_moving_change_PC1"	"PWakeLight__State_D2_D6"	0.19104470190443	169
"PCA_moving_change_PC1"	"DarkCoreMoving__State_D2_D6"	0.188623141564318	169
"PCA_moving_change_PC1"	"MovingDark__State_D2_D6"	0.185920640445527	169
"PCA_moving_change_PC1"	"ActivityContrast__D6_D1"	0.172226642136144	169
"PCA_moving_change_PC1"	"ActivityLight__State_D2_D6"	0.160486798269604	169
"PCA_moving_change_PC1"	"FragmentationLight__State_D2_D6"	0.151454487474755	168
"PCA_moving_change_PC1"	"ActivityDark__State_D2_D6"	0.147690318731043	169
"PCA_moving_change_PC1"	"WakingActivityDark__Late2_Early2"	0.123691014867486	169
"PCA_moving_change_PC1"	"Harmonic24Amplitude__State_D2_D6"	0.12201531500174	169
"PCA_moving_change_PC1"	"TwoHarmonicR2__D6_D1"	0.118872756203073	169
"PCA_moving_change_PC1"	"WakingActivityDark__D6_D1"	0.116933518969718	169
"PCA_moving_change_PC1"	"Harmonic24Amplitude__Late2_Early2"	0.106262741783104	169
"PCA_moving_change_PC1"	"DuskResponse__D6_D1"	0.106240365968873	169
"PCA_moving_change_PC1"	"MorningPeakOffset__State_D2_D6"	0.0873962917538417	166
"PCA_moving_change_PC1"	"SleepAllocation__D6_D1"	0.070891551887027	169
