phenotype	Batch	Genotype	value	n_flies	n_retained	mad	q25	q75	metric	contrast	family	selection_class
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP358"	-0.118047962455654	25	25	0.146910304260407	-0.232243638597451	-0.039932710335371	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP360"	-0.250811873012171	24	24	0.261432730334282	-0.337348649812392	-0.0305128220351502	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP362"	-0.0710675099185228	30	30	0.120994175328465	-0.114726010314251	0.0273668656928087	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch12_DGRP"	"DGRP375"	-0.122013622600989	22	22	0.153388280007078	-0.225094121102712	-0.0248574057655515	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"CS"	NA	0	32	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP21"	NA	0	17	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP73"	NA	0	10	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP91"	NA	0	25	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP176"	NA	0	29	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP177"	NA	0	6	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP280"	NA	0	27	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP306"	NA	0	30	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP373"	NA	0	24	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
"ActivityContrast__D6_D1"	"Batch13_DGRP"	"DGRP790"	NA	0	20	NA	NA	NA	"ActivityContrast"	"D6_D1"	"activity"	"continuous"
