model	resampling	bin	zt	median	q025	q975
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	16	7.75	0.145114625953048	0.132331248755441	0.156105393128866
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	17	8.25	0.151724355414395	0.13596392629631	0.164338670950161
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	18	8.75	0.166717076171486	0.150445641678467	0.182849087658272
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	19	9.25	0.175754872160799	0.16189209287887	0.189431879299565
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	20	9.75	0.185772111510912	0.171497461215051	0.200253674207539
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	21	10.25	0.192515577792207	0.179587846096869	0.20420208579421
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	22	10.75	0.193141749790125	0.181090520403721	0.20290740730297
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	23	11.25	0.184740304079394	0.174467074281545	0.192462873518611
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	24	11.75	0.171816957297794	0.163587534961002	0.179031333166452
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	25	12.25	0.162260062025607	0.15560344507874	0.169857120894999
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	26	12.75	0.148485307146012	0.14174674515873	0.156723340464431
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	27	13.25	0.140065232640892	0.133709459514588	0.147852419602685
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	28	13.75	0.134031116559895	0.127979727495315	0.141378388480015
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	29	14.25	0.135446635475726	0.1289526018503	0.141927148872686
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	30	14.75	0.136536851724386	0.13018924218188	0.141937714316119
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	31	15.25	0.141387692373837	0.135317470788838	0.146660330550443
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	32	15.75	0.142696924701142	0.135780517594289	0.148253684765759
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	33	16.25	0.149536181620769	0.142857163836149	0.154263800411223
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	34	16.75	0.152477726911193	0.145179251833388	0.158952066134686
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	35	17.25	0.157486820113627	0.150210229691085	0.163892081175216
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	36	17.75	0.161824385976475	0.15341779362858	0.167466083153958
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	37	18.25	0.168761373211117	0.161364251709989	0.173591137072251
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	38	18.75	0.170720723092077	0.164660993090987	0.175967092885747
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	39	19.25	0.172778207505959	0.16646392752137	0.178907125937928
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	40	19.75	0.173963659669401	0.168208358482813	0.180165581272141
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	41	20.25	0.172230469749531	0.165979527184541	0.178556978467347
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	42	20.75	0.175890528504084	0.169280059667807	0.182427571768033
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	43	21.25	0.175667541845042	0.16894552196747	0.18257770870811
"moving_raw"	"within_cell_whole_fly_refit_batch_and_PCA"	44	21.75	0.177352102697784	0.172000799002086	0.184429530209349
