deleted_line	beta	se	p	trait	SNP	full_gls_beta	full_gls_p	delta_neglogp
"line_336"	-111.935939005605	26.0282347684795	1.70368402431264e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0144212723122115
"line_338"	-113.246720562692	26.0484453556741	1.37671464175812e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0781238473826695
"line_348"	-112.405385934071	26.0289421014314	1.57109641876258e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0207649399996361
"line_350"	-111.979198446544	26.0282554494386	1.69097714482726e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.0111699590633991
"line_352"	-115.459985584339	26.0639586215788	9.42892860061743e-06	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.242505431559843
"line_354"	-117.738692811394	26.7040943543014	1.0384290642118e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.200590943732855
"line_355"	-111.048873077045	26.1928025900427	2.23847333074803e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.132984145881281
"line_356"	-112.931719533171	26.050926347657	1.45735863695581e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0534013395380049
"line_357"	-112.236856338997	26.0485501594278	1.64175097197943e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.00166049659022249
"line_358"	-112.294766964558	26.0290822362485	1.60179091321373e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.0123619530403998
"line_359"	-116.809479770344	26.7060187389603	1.22045791454222e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	0.130444970579111
"line_360"	-112.466804359982	26.7513714342621	2.62063976883494e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.201439548588582
"line_361"	-112.066830390797	26.0277298059975	1.66480648580024e-05	"TotalSleep"	"2L_10170542"	-112.124005951107	1.64804011500952e-05	-0.00439598047471446
